codigo,id_categoria,id_subcategoria,Nome,Quantidade,Descricao,Codigo Amarração,image_url,Vlr Bruto,Vlr Unitario
2027,6,26,FRIG EXTRA FORTE POLIDA C/ TPA 22,1,"- 1,90 L",,,"56,08","56,08"
2028,6,26,FRIG EXTRA FORTE POLIDA C/ TPA 24,1,"- 2,70 L",,,"64,38","64,38"
3084,6,27,FRIG REFORÇADA POLIDA S/ TPA 20,1,"- 1,30 L",,,"22,86","22,86"
3085,6,27,FRIG REFORÇADA POLIDA S/ TPA 22,1,"- 1,80 L",,,"25,60","25,60"
3086,6,27,FRIG REFORÇADA POLIDA S/ TPA 20,1,"- 2,20 L",,,"30,62","30,62"
3256, 7,28,ASSADEIRA RETANGULAR ALTA REFORÇADA 01,1,"- 27 X 17,8 X 5 CM",,,"19,32","19,32"
4721, 7,28,ASSADEIRA RETANGULAR ALTA REFORÇADA 01,6,6 peças,3256,,"108,94","18,16"
3257, 7,28,ASSADEIRA RETANGULAR ALTA REFORÇADA 02,1,"- 33,2 X 21,2 X 5 CM",,,"24,95","24,95"
4722, 7,28,ASSADEIRA RETANGULAR ALTA REFORÇADA 02,6,6 peças,3257,,"140,69","23,45"
3258, 7,28,ASSADEIRA RETANGULAR ALTA REFORÇADA 03,1,"- 34,5 X 23,7 X 5,5 CM",,,"30,49","30,49"
4723, 7,28,ASSADEIRA RETANGULAR ALTA REFORÇADA 03,6,6 peças,3258,,"171,96","28,66"
3259, 7,28,ASSADEIRA RETANGULAR ALTA REFORÇADA 04,1,"- 39,4 X 28,2 X 5,8 CM",,,"42,91","42,91"
4724, 7,28,ASSADEIRA RETANGULAR ALTA REFORÇADA 04,6,6 peças,3259,,"242,03","40,34"
3260, 7,28,ASSADEIRA RETANGULAR ALTA REFORÇADA 05,1,"- 44,9 X 30,1 X 6,5 CM",,,"59,05","59,05"
4725, 7,28,ASSADEIRA RETANGULAR ALTA REFORÇADA 05,6,6 peças,3260,,"333,07","55,51"
3250, 7,28,ASSADDEIRA RETANGULAR BAIXA REFORÇADA 01,1,"- 27 X 17,9 X 3,7 CM",,,"14,28","14,28"
4716, 7,28,ASSADDEIRA RETANGULAR BAIXA REFORÇADA 01,6,6 peças,3250,,"80,52","13,42"
3251, 7,28,ASSADDEIRA RETANGULAR BAIXA REFORÇADA 02,1,"- 31,1 X 21,3 X 3,8 CM",,,"21,25","21,25"
4717, 7,28,ASSADDEIRA RETANGULAR BAIXA REFORÇADA 02,6,6 peças,3251,,"119,85","19,98"
3252, 7,28,ASSADDEIRA RETANGULAR BAIXA REFORÇADA 03,1,"- 34,6 X 23,7 X 4 CM",,,"26,27","26,27"
4718, 7,28,ASSADDEIRA RETANGULAR BAIXA REFORÇADA 03,6,6 peças,3252,,"148,17","24,70"
3253, 7,28,ASSADDEIRA RETANGULAR BAIXA REFORÇADA 04,1,"- 39,3 X 28,2 X 4,2 CM",,,"36,18","36,18"
4719, 7,28,ASSADDEIRA RETANGULAR BAIXA REFORÇADA 04,6,6 peças,3253,,"204,08","34,01"
3254, 7,28,ASSADDEIRA RETANGULAR BAIXA REFORÇADA 05,1,"- 44,6 X 30,1 X 4,5 CM",,,"46,65","46,65"
4720, 7,28,ASSADDEIRA RETANGULAR BAIXA REFORÇADA 05,6,6 peças,3254,,"263,10","43,85"
5127, 7,28,ASSADEIRA RETANGULAR ALTA FORT FLON 02,1,"- 31,1 X 21,1 X 5,2 CM ",,,"51,87","51,87"
4767, 7,28,ASSADEIRA RETANGULAR ALTA FORT FLON 02,6,6 peças,5127,,"292,55","48,76"
5128, 7,28,ASSADEIRA RETANGULAR ALTA FORT FLON 03,1,"- 34,5 X 23,7 X 5,5 CM",,,"62,58","62,58"
4768, 7,28,ASSADEIRA RETANGULAR ALTA FORT FLON 03,6,6 peças,5128,,"352,93","58,82"
